Impuesto específico,Año,Valor,Impuesto,Agregación,Impuesto_alt,Índice,Valor (Constantes - 18)
Impuesto unificado RST (Simple),1996,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,26.52,0.0
Impuesto de normalización tributaria,1996,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,26.52,0.0
Consumo bienes inmuebles,1996,0.0,Consumo bienes inmuebles,Actividad interna,Otros,26.52,0.0
Productos plásticos de un solo uso,1996,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,26.52,0.0
Impuestos saludables - Bebidas azucaradas,1996,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,26.52,0.0
Impuestos saludables - Comestibles ultraprocesados,1996,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,26.52,0.0
IVA_ext,1996,1619137.0,IVA,Actividad externa,IVA,26.52,6105343.137254902
Arancel,1996,906033.0,Arancel,Actividad externa,Otros,26.52,3416414.0271493215
Por clasificar,1996,31978.0,Por clasificar,Por clasificar,Otros,26.52,120580.69381598794
Renta cuotas,1997,1845332.0,Renta,Actividad interna,Renta,31.21,5912630.567125921
Retención en la fuente a título de renta,1997,3633544.0,Renta,Actividad interna,Renta,31.21,11642242.87087472
Declaraciones IVA,1997,3283057.0,IVA,Actividad interna,IVA,31.21,10519247.036206344
Retención en la fuente a título de IVA,1997,727219.0,IVA,Actividad interna,IVA,31.21,2330083.30663249
Timbre nacional,1997,233157.0,Timbre nacional,Actividad interna,Otros,31.21,747058.6350528677
G.M.F.,1997,0.0,G.M.F.,Actividad interna,Otros,31.21,0.0
Patrimonio,1997,0.0,Patrimonio,Actividad interna,Otros,31.21,0.0
Riqueza,1997,0.0,Riqueza,Actividad interna,Otros,31.21,0.0
Impuesto al consumo,1997,0.0,Impuesto al consumo,Actividad interna,Otros,31.21,0.0
Impuesto gasolina y ACPM,1997,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,31.21,0.0
Impuesto al carbono,1997,0.0,Impuesto al carbono,Actividad interna,Otros,31.21,0.0
Declaraciones CREE,1997,0.0,CREE,Actividad interna,Otros,31.21,0.0
Retención CREE,1997,0.0,CREE,Actividad interna,Otros,31.21,0.0
Impuesto unificado RST (Simple),1997,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,31.21,0.0
Impuesto de normalización tributaria,1997,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,31.21,0.0
Consumo bienes inmuebles,1997,0.0,Consumo bienes inmuebles,Actividad interna,Otros,31.21,0.0
Productos plásticos de un solo uso,1997,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,31.21,0.0
Impuestos saludables - Bebidas azucaradas,1997,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,31.21,0.0
Impuestos saludables - Comestibles ultraprocesados,1997,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,31.21,0.0
IVA_ext,1997,2079276.0,IVA,Actividad externa,IVA,31.21,6662210.829862224
Arancel,1997,1353553.0,Arancel,Actividad externa,Otros,31.21,4336920.8586991355
Por clasificar,1997,130502.0,Por clasificar,Por clasificar,Otros,31.21,418141.6212752323
Renta cuotas,1998,1641863.0,Renta,Actividad interna,Renta,36.42,4508135.639758375
Retención en la fuente a título de renta,1998,4419149.0,Renta,Actividad interna,Renta,36.42,12133852.2789676
Declaraciones IVA,1998,3589001.0,IVA,Actividad interna,IVA,36.42,9854478.308621636
Retención en la fuente a título de IVA,1998,923717.0,IVA,Actividad interna,IVA,36.42,2536290.4997254256
Timbre nacional,1998,317176.0,Timbre nacional,Actividad interna,Otros,36.42,870884.1295991213
G.M.F.,1998,0.0,G.M.F.,Actividad interna,Otros,36.42,0.0
Patrimonio,1998,0.0,Patrimonio,Actividad interna,Otros,36.42,0.0
Riqueza,1998,0.0,Riqueza,Actividad interna,Otros,36.42,0.0
Impuesto al consumo,1998,0.0,Impuesto al consumo,Actividad interna,Otros,36.42,0.0
Impuesto gasolina y ACPM,1998,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,36.42,0.0
Impuesto al carbono,1998,0.0,Impuesto al carbono,Actividad interna,Otros,36.42,0.0
Declaraciones CREE,1998,0.0,CREE,Actividad interna,Otros,36.42,0.0
Retención CREE,1998,0.0,CREE,Actividad interna,Otros,36.42,0.0
Impuesto unificado RST (Simple),1998,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,36.42,0.0
Impuesto de normalización tributaria,1998,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,36.42,0.0
Consumo bienes inmuebles,1998,0.0,Consumo bienes inmuebles,Actividad interna,Otros,36.42,0.0
Productos plásticos de un solo uso,1998,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,36.42,0.0
Impuestos saludables - Bebidas azucaradas,1998,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,36.42,0.0
Impuestos saludables - Comestibles ultraprocesados,1998,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,36.42,0.0
IVA_ext,1998,2401536.0,IVA,Actividad externa,IVA,36.42,6594003.2948929155
Arancel,1998,1716858.0,Arancel,Actividad externa,Otros,36.42,4714052.718286655
Por clasificar,1998,12410.0,Por clasificar,Por clasificar,Otros,36.42,34074.68423942888
Renta cuotas,1999,2105943.0,Renta,Actividad interna,Renta,39.79,5292643.880371953
Retención en la fuente a título de renta,1999,4594462.0,Renta,Actividad interna,Renta,39.79,11546775.571751697
Declaraciones IVA,1999,3947625.0,IVA,Actividad interna,IVA,39.79,9921148.529781353
Retención en la fuente a título de IVA,1999,986390.0,IVA,Actividad interna,IVA,39.79,2478989.6959034936
Timbre nacional,1999,336548.0,Timbre nacional,Actividad interna,Otros,39.79,845810.5051520483
G.M.F.,1999,880692.0,G.M.F.,Actividad interna,Otros,39.79,2213350.0879617995
Patrimonio,1999,0.0,Patrimonio,Actividad interna,Otros,39.79,0.0
Riqueza,1999,0.0,Riqueza,Actividad interna,Otros,39.79,0.0
Impuesto al consumo,1999,0.0,Impuesto al consumo,Actividad interna,Otros,39.79,0.0
Impuesto gasolina y ACPM,1999,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,39.79,0.0
Impuesto al carbono,1999,0.0,Impuesto al carbono,Actividad interna,Otros,39.79,0.0
Declaraciones CREE,1999,0.0,CREE,Actividad interna,Otros,39.79,0.0
Retención CREE,1999,0.0,CREE,Actividad interna,Otros,39.79,0.0
Impuesto unificado RST (Simple),1999,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,39.79,0.0
Impuesto de normalización tributaria,1999,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,39.79,0.0
Consumo bienes inmuebles,1999,0.0,Consumo bienes inmuebles,Actividad interna,Otros,39.79,0.0
Productos plásticos de un solo uso,1999,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,39.79,0.0
Impuestos saludables - Bebidas azucaradas,1999,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,39.79,0.0
Impuestos saludables - Comestibles ultraprocesados,1999,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,39.79,0.0
IVA_ext,1999,2134398.0,IVA,Actividad externa,IVA,39.79,5364156.823322443
Arancel,1999,1438675.0,Arancel,Actividad externa,Otros,39.79,3615669.766272933
Por clasificar,1999,10616.0,Por clasificar,Por clasificar,Otros,39.79,26680.07036943956
Renta cuotas,2000,2474471.073009998,Renta,Actividad interna,Renta,43.27,5718675.925606651
Retención en la fuente a título de renta,2000,5052492.540451879,Renta,Actividad interna,Renta,43.27,11676664.063905427
Declaraciones IVA,2000,4576003.387146002,IVA,Actividad interna,IVA,43.27,10575464.264261616
Retención en la fuente a título de IVA,2000,1213585.3432132246,IVA,Actividad interna,IVA,43.27,2804680.7099912744
Timbre nacional,2000,402692.55649090256,Timbre nacional,Actividad interna,Otros,43.27,930650.6967665878
G.M.F.,2000,1036744.0,G.M.F.,Actividad interna,Otros,43.27,2395987.9824358677
Patrimonio,2000,0.0,Patrimonio,Actividad interna,Otros,43.27,0.0
Riqueza,2000,0.0,Riqueza,Actividad interna,Otros,43.27,0.0
Impuesto al consumo,2000,0.0,Impuesto al consumo,Actividad interna,Otros,43.27,0.0
Impuesto gasolina y ACPM,2000,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,43.27,0.0
Impuesto al carbono,2000,0.0,Impuesto al carbono,Actividad interna,Otros,43.27,0.0
Declaraciones CREE,2000,0.0,CREE,Actividad interna,Otros,43.27,0.0
Retención CREE,2000,0.0,CREE,Actividad interna,Otros,43.27,0.0
Impuesto unificado RST (Simple),2000,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,43.27,0.0
Impuesto de normalización tributaria,2000,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,43.27,0.0
Consumo bienes inmuebles,2000,0.0,Consumo bienes inmuebles,Actividad interna,Otros,43.27,0.0
Productos plásticos de un solo uso,2000,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,43.27,0.0
Impuestos saludables - Bebidas azucaradas,2000,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,43.27,0.0
Impuestos saludables - Comestibles ultraprocesados,2000,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,43.27,0.0
IVA_ext,2000,2742842.420735395,IVA,Actividad externa,IVA,43.27,6338900.903016859
Arancel,2000,1762238.2136476045,Arancel,Actividad externa,Otros,43.27,4072655.913213784
Por clasificar,2000,34037.74621299993,Por clasificar,Por clasificar,Otros,43.27,78663.61500577751
Renta cuotas,2001,3969716.830765,Renta,Actividad interna,Renta,46.58,8522363.312075999
Retención en la fuente a título de renta,2001,6291508.6651052935,Renta,Actividad interna,Renta,46.58,13506888.503875684
Declaraciones IVA,2001,5235223.593014001,IVA,Actividad interna,IVA,46.58,11239209.0876213
Retención en la fuente a título de IVA,2001,2087178.2277582365,IVA,Actividad interna,IVA,46.58,4480846.345552247
Timbre nacional,2001,420749.18151446537,Timbre nacional,Actividad interna,Otros,46.58,903282.9143719737
G.M.F.,2001,1437359.0,G.M.F.,Actividad interna,Otros,46.58,3085785.744954916
Patrimonio,2001,0.0,Patrimonio,Actividad interna,Otros,46.58,0.0
Riqueza,2001,0.0,Riqueza,Actividad interna,Otros,46.58,0.0
Impuesto al consumo,2001,0.0,Impuesto al consumo,Actividad interna,Otros,46.58,0.0
Impuesto gasolina y ACPM,2001,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,46.58,0.0
Impuesto al carbono,2001,0.0,Impuesto al carbono,Actividad interna,Otros,46.58,0.0
Declaraciones CREE,2001,0.0,CREE,Actividad interna,Otros,46.58,0.0
Retención CREE,2001,0.0,CREE,Actividad interna,Otros,46.58,0.0
Impuesto unificado RST (Simple),2001,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,46.58,0.0
Impuesto de normalización tributaria,2001,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,46.58,0.0
Consumo bienes inmuebles,2001,0.0,Consumo bienes inmuebles,Actividad interna,Otros,46.58,0.0
Productos plásticos de un solo uso,2001,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,46.58,0.0
Impuestos saludables - Bebidas azucaradas,2001,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,46.58,0.0
Impuestos saludables - Comestibles ultraprocesados,2001,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,46.58,0.0
IVA_ext,2001,3152714.1399326827,IVA,Actividad externa,IVA,46.58,6768385.873621045
Arancel,2001,2253309.562391315,Arancel,Actividad externa,Otros,46.58,4837504.427632707
Por clasificar,2001,21999.80963599921,Por clasificar,Por clasificar,Otros,46.58,47230.16237870161
Renta cuotas,2002,3635357.0816040016,Renta,Actividad interna,Renta,49.83,7295518.927561713
Retención en la fuente a título de renta,2002,7224636.330791268,Renta,Actividad interna,Renta,49.83,14498567.792075593
Declaraciones IVA,2002,5610840.737230008,IVA,Actividad interna,IVA,49.83,11259965.356672702
Retención en la fuente a título de IVA,2002,2340201.755681251,IVA,Actividad interna,IVA,49.83,4696371.173351899
Timbre nacional,2002,433976.7737014839,Timbre nacional,Actividad interna,Otros,49.83,870914.6572375756
G.M.F.,2002,1408101.0,G.M.F.,Actividad interna,Otros,49.83,2825809.753160747
Patrimonio,2002,1250721.5153250012,Patrimonio,Actividad interna,Otros,49.83,2509976.952287781
Riqueza,2002,0.0,Riqueza,Actividad interna,Otros,49.83,0.0
Impuesto al consumo,2002,0.0,Impuesto al consumo,Actividad interna,Otros,49.83,0.0
Impuesto gasolina y ACPM,2002,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,49.83,0.0
Impuesto al carbono,2002,0.0,Impuesto al carbono,Actividad interna,Otros,49.83,0.0
Declaraciones CREE,2002,0.0,CREE,Actividad interna,Otros,49.83,0.0
Retención CREE,2002,0.0,CREE,Actividad interna,Otros,49.83,0.0
Impuesto unificado RST (Simple),2002,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,49.83,0.0
Impuesto de normalización tributaria,2002,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,49.83,0.0
Consumo bienes inmuebles,2002,0.0,Consumo bienes inmuebles,Actividad interna,Otros,49.83,0.0
Productos plásticos de un solo uso,2002,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,49.83,0.0
Impuestos saludables - Bebidas azucaradas,2002,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,49.83,0.0
Impuestos saludables - Comestibles ultraprocesados,2002,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,49.83,0.0
IVA_ext,2002,3485895.9007056165,IVA,Actividad externa,IVA,49.83,6995576.762403405
Arancel,2002,2150083.892529381,Arancel,Actividad externa,Otros,49.83,4314838.235057959
Por clasificar,2002,13579.002785999586,Por clasificar,Por clasificar,Otros,49.83,27250.65780854824
Renta cuotas,2003,4129478.996714002,Renta,Actividad interna,Renta,53.07,7781192.758081784
Retención en la fuente a título de renta,2003,8412193.568798319,Renta,Actividad interna,Renta,53.07,15851127.885431165
Declaraciones IVA,2003,6889779.518773999,IVA,Actividad interna,IVA,53.07,12982437.382276239
Retención en la fuente a título de IVA,2003,2782377.7360352688,IVA,Actividad interna,IVA,53.07,5242844.801272412
Timbre nacional,2003,511536.8412844116,Timbre nacional,Actividad interna,Otros,53.07,963890.7881748853
G.M.F.,2003,1621500.0,G.M.F.,Actividad interna,Otros,53.07,3055398.5302430755
Patrimonio,2003,1227934.1953179978,Patrimonio,Actividad interna,Otros,53.07,2313801.008701711
Riqueza,2003,0.0,Riqueza,Actividad interna,Otros,53.07,0.0
Impuesto al consumo,2003,0.0,Impuesto al consumo,Actividad interna,Otros,53.07,0.0
Impuesto gasolina y ACPM,2003,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,53.07,0.0
Impuesto al carbono,2003,0.0,Impuesto al carbono,Actividad interna,Otros,53.07,0.0
Declaraciones CREE,2003,0.0,CREE,Actividad interna,Otros,53.07,0.0
Retención CREE,2003,0.0,CREE,Actividad interna,Otros,53.07,0.0
Impuesto unificado RST (Simple),2003,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,53.07,0.0
Impuesto de normalización tributaria,2003,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,53.07,0.0
Consumo bienes inmuebles,2003,0.0,Consumo bienes inmuebles,Actividad interna,Otros,53.07,0.0
Productos plásticos de un solo uso,2003,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,53.07,0.0
Impuestos saludables - Bebidas azucaradas,2003,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,53.07,0.0
Impuestos saludables - Comestibles ultraprocesados,2003,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,53.07,0.0
IVA_ext,2003,4405050.639034126,IVA,Actividad externa,IVA,53.07,8300453.437034344
Arancel,2003,2285379.666554873,Arancel,Actividad externa,Otros,53.07,4306349.475324803
Por clasificar,2003,20019.116747999746,Por clasificar,Por clasificar,Otros,53.07,37722.096755228464
Renta cuotas,2004,6546625.648104011,Renta,Actividad interna,Renta,55.99,11692490.887844276
Retención en la fuente a título de renta,2004,9408707.93492398,Renta,Actividad interna,Renta,55.99,16804264.931101944
Declaraciones IVA,2004,7840824.087506004,IVA,Actividad interna,IVA,55.99,14003972.294170393
Retención en la fuente a título de IVA,2004,3169982.0009513106,IVA,Actividad interna,IVA,55.99,5661693.161191838
Timbre nacional,2004,574710.1982207169,Timbre nacional,Actividad interna,Otros,55.99,1026451.5060202122
G.M.F.,2004,2237595.0,G.M.F.,Actividad interna,Otros,55.99,3996419.003393463
Patrimonio,2004,454012.2869939997,Patrimonio,Actividad interna,Otros,55.99,810881.0269583848
Riqueza,2004,0.0,Riqueza,Actividad interna,Otros,55.99,0.0
Impuesto al consumo,2004,0.0,Impuesto al consumo,Actividad interna,Otros,55.99,0.0
Impuesto gasolina y ACPM,2004,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,55.99,0.0
Impuesto al carbono,2004,0.0,Impuesto al carbono,Actividad interna,Otros,55.99,0.0
Declaraciones CREE,2004,0.0,CREE,Actividad interna,Otros,55.99,0.0
Retención CREE,2004,0.0,CREE,Actividad interna,Otros,55.99,0.0
Impuesto unificado RST (Simple),2004,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,55.99,0.0
Impuesto de normalización tributaria,2004,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,55.99,0.0
Consumo bienes inmuebles,2004,0.0,Consumo bienes inmuebles,Actividad interna,Otros,55.99,0.0
Productos plásticos de un solo uso,2004,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,55.99,0.0
Impuestos saludables - Bebidas azucaradas,2004,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,55.99,0.0
Impuestos saludables - Comestibles ultraprocesados,2004,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,55.99,0.0
IVA_ext,2004,5163343.278676723,IVA,Actividad externa,IVA,55.99,9221902.623105416
Arancel,2004,2380779.595558272,Arancel,Actividad externa,Otros,55.99,4252151.447684
Por clasificar,2004,88490.9326840001,Por clasificar,Por clasificar,Otros,55.99,158047.74546168974
Renta cuotas,2005,7923954.054545007,Renta,Actividad interna,Renta,58.7,13499069.939599669
Retención en la fuente a título de renta,2005,10615016.039494611,Renta,Actividad interna,Renta,58.7,18083502.6226484
Declaraciones IVA,2005,8889564.618153004,IVA,Actividad interna,IVA,58.7,15144062.381862015
Retención en la fuente a título de IVA,2005,3295134.6281092702,IVA,Actividad interna,IVA,58.7,5613517.254019199
Timbre nacional,2005,673405.890134132,Timbre nacional,Actividad interna,Otros,58.7,1147199.1314039726
G.M.F.,2005,2401225.874596,G.M.F.,Actividad interna,Otros,58.7,4090674.403059625
Patrimonio,2005,474219.47905,Patrimonio,Actividad interna,Otros,58.7,807869.6406303236
Riqueza,2005,0.0,Riqueza,Actividad interna,Otros,58.7,0.0
Impuesto al consumo,2005,0.0,Impuesto al consumo,Actividad interna,Otros,58.7,0.0
Impuesto gasolina y ACPM,2005,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,58.7,0.0
Impuesto al carbono,2005,0.0,Impuesto al carbono,Actividad interna,Otros,58.7,0.0
Declaraciones CREE,2005,0.0,CREE,Actividad interna,Otros,58.7,0.0
Retención CREE,2005,0.0,CREE,Actividad interna,Otros,58.7,0.0
Impuesto unificado RST (Simple),2005,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,58.7,0.0
Impuesto de normalización tributaria,2005,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,58.7,0.0
Consumo bienes inmuebles,2005,0.0,Consumo bienes inmuebles,Actividad interna,Otros,58.7,0.0
Productos plásticos de un solo uso,2005,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,58.7,0.0
Impuestos saludables - Bebidas azucaradas,2005,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,58.7,0.0
Impuestos saludables - Comestibles ultraprocesados,2005,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,58.7,0.0
IVA_ext,2005,6277481.19430496,IVA,Actividad externa,IVA,58.7,10694175.799497375
Arancel,2005,3007760.390516045,Arancel,Actividad externa,Otros,58.7,5123952.965103994
Por clasificar,2005,33837.39960899981,Por clasificar,Por clasificar,Otros,58.7,57644.633064735615
Renta cuotas,2006,9842101.002242,Renta,Actividad interna,Renta,61.33,16047775.969740748
Retención en la fuente a título de renta,2006,12577012.150146956,Renta,Actividad interna,Renta,61.33,20507112.58788025
Declaraciones IVA,2006,10887932.062904,IVA,Actividad interna,IVA,61.33,17753027.98451655
Retención en la fuente a título de IVA,2006,3241160.9235760514,IVA,Actividad interna,IVA,61.33,5284788.722608921
Timbre nacional,2006,791207.5334059935,Timbre nacional,Actividad interna,Otros,61.33,1290082.3959008537
G.M.F.,2006,2668946.016352,G.M.F.,Actividad interna,Otros,61.33,4351778.927689549
Patrimonio,2006,536233.482434,Patrimonio,Actividad interna,Otros,61.33,874341.2399054298
Riqueza,2006,0.0,Riqueza,Actividad interna,Otros,61.33,0.0
Impuesto al consumo,2006,0.0,Impuesto al consumo,Actividad interna,Otros,61.33,0.0
Impuesto gasolina y ACPM,2006,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,61.33,0.0
Impuesto al carbono,2006,0.0,Impuesto al carbono,Actividad interna,Otros,61.33,0.0
Declaraciones CREE,2006,0.0,CREE,Actividad interna,Otros,61.33,0.0
Retención CREE,2006,0.0,CREE,Actividad interna,Otros,61.33,0.0
Impuesto unificado RST (Simple),2006,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,61.33,0.0
Impuesto de normalización tributaria,2006,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,61.33,0.0
Consumo bienes inmuebles,2006,0.0,Consumo bienes inmuebles,Actividad interna,Otros,61.33,0.0
Productos plásticos de un solo uso,2006,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,61.33,0.0
Impuestos saludables - Bebidas azucaradas,2006,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,61.33,0.0
Impuestos saludables - Comestibles ultraprocesados,2006,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,61.33,0.0
IVA_ext,2006,8569224.03520682,IVA,Actividad externa,IVA,61.33,13972320.292200916
Arancel,2006,3690887.715824176,Arancel,Actividad externa,Otros,61.33,6018078.780081814
Por clasificar,2006,19655.699150000048,Por clasificar,Por clasificar,Otros,61.33,32049.077368335315
Renta cuotas,2007,10222032.536946,Renta,Actividad interna,Renta,64.82,15769874.324199324
Retención en la fuente a título de renta,2007,14519612.8529022,Renta,Actividad interna,Renta,64.82,22399896.409907747
Declaraciones IVA,2007,13097249.051949,IVA,Actividad interna,IVA,64.82,20205567.806153968
Retención en la fuente a título de IVA,2007,3962495.989487611,IVA,Actividad interna,IVA,64.82,6113076.194828158
Timbre nacional,2007,863928.3666471897,Timbre nacional,Actividad interna,Otros,64.82,1332811.4264844027
G.M.F.,2007,2989521.9663790003,G.M.F.,Actividad interna,Otros,64.82,4612036.356647641
Patrimonio,2007,1232680.948867,Patrimonio,Actividad interna,Otros,64.82,1901698.470945696
Riqueza,2007,0.0,Riqueza,Actividad interna,Otros,64.82,0.0
Impuesto al consumo,2007,0.0,Impuesto al consumo,Actividad interna,Otros,64.82,0.0
Impuesto gasolina y ACPM,2007,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,64.82,0.0
Impuesto al carbono,2007,0.0,Impuesto al carbono,Actividad interna,Otros,64.82,0.0
Declaraciones CREE,2007,0.0,CREE,Actividad interna,Otros,64.82,0.0
Retención CREE,2007,0.0,CREE,Actividad interna,Otros,64.82,0.0
Impuesto unificado RST (Simple),2007,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,64.82,0.0
Impuesto de normalización tributaria,2007,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,64.82,0.0
Consumo bienes inmuebles,2007,0.0,Consumo bienes inmuebles,Actividad interna,Otros,64.82,0.0
Productos plásticos de un solo uso,2007,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,64.82,0.0
Impuestos saludables - Bebidas azucaradas,2007,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,64.82,0.0
Impuestos saludables - Comestibles ultraprocesados,2007,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,64.82,0.0
IVA_ext,2007,9091406.617664892,IVA,Actividad externa,IVA,64.82,14025619.58911585
Arancel,2007,4244504.765768109,Arancel,Actividad externa,Otros,64.82,6548140.644504951
Por clasificar,2007,18420.725302000003,Por clasificar,Por clasificar,Otros,64.82,28418.274146868258
Renta cuotas,2008,10140964.0,Renta,Actividad interna,Renta,69.8,14528601.71919771
Retención en la fuente a título de renta,2008,16525925.0,Renta,Actividad interna,Renta,69.8,23676110.315186247
Declaraciones IVA,2008,14322836.0,IVA,Actividad interna,IVA,69.8,20519822.349570204
Retención en la fuente a título de IVA,2008,4534565.0,IVA,Actividad interna,IVA,69.8,6496511.461318052
Timbre nacional,2008,809376.0,Timbre nacional,Actividad interna,Otros,69.8,1159564.4699140403
G.M.F.,2008,3199639.0,G.M.F.,Actividad interna,Otros,69.8,4584010.028653296
Patrimonio,2008,3320867.0,Patrimonio,Actividad interna,Otros,69.8,4757689.111747852
Riqueza,2008,0.0,Riqueza,Actividad interna,Otros,69.8,0.0
Impuesto al consumo,2008,0.0,Impuesto al consumo,Actividad interna,Otros,69.8,0.0
Impuesto gasolina y ACPM,2008,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,69.8,0.0
Impuesto al carbono,2008,0.0,Impuesto al carbono,Actividad interna,Otros,69.8,0.0
Declaraciones CREE,2008,0.0,CREE,Actividad interna,Otros,69.8,0.0
Retención CREE,2008,0.0,CREE,Actividad interna,Otros,69.8,0.0
Impuesto unificado RST (Simple),2008,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,69.8,0.0
Impuesto de normalización tributaria,2008,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,69.8,0.0
Consumo bienes inmuebles,2008,0.0,Consumo bienes inmuebles,Actividad interna,Otros,69.8,0.0
Productos plásticos de un solo uso,2008,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,69.8,0.0
Impuestos saludables - Bebidas azucaradas,2008,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,69.8,0.0
Impuestos saludables - Comestibles ultraprocesados,2008,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,69.8,0.0
IVA_ext,2008,9713835.0,IVA,Actividad externa,IVA,69.8,13916669.054441262
Arancel,2008,4428604.0,Arancel,Actividad externa,Otros,69.8,6344704.871060172
Por clasificar,2008,36206.0,Por clasificar,Por clasificar,Otros,69.8,51871.06017191977
Renta cuotas,2009,13510156.748918995,Renta,Actividad interna,Renta,71.2,18974939.25409971
Retención en la fuente a título de renta,2009,17183499.085843265,Renta,Actividad interna,Renta,71.2,24134127.929555144
Declaraciones IVA,2009,14797055.852818,IVA,Actividad interna,IVA,71.2,20782381.815755613
Retención en la fuente a título de IVA,2009,4657456.629756033,IVA,Actividad interna,IVA,71.2,6541371.671005664
Timbre nacional,2009,646811.6344847023,Timbre nacional,Actividad interna,Otros,71.2,908443.3068605368
G.M.F.,2009,3121277.7,G.M.F.,Actividad interna,Otros,71.2,4383816.994382022
Patrimonio,2009,2238617.930132,Patrimonio,Actividad interna,Otros,71.2,3144126.3063651677
Riqueza,2009,0.0,Riqueza,Actividad interna,Otros,71.2,0.0
Impuesto al consumo,2009,0.0,Impuesto al consumo,Actividad interna,Otros,71.2,0.0
